Into Thin Air: A Personal Account of the Mt. Everest Disaster,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1631501298i/1898.jpg,https://www.goodreads.com/book/show/1898.Into_Thin_Air
James by Percival Everett,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1704107491i/173754979.jpg,https://www.goodreads.com/book/show/173754979-james
Little Women by Louisa May Alcott,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1562690475i/1934.jpg,https://www.goodreads.com/book/show/1934.Little_Women
Lonesome Dove by Larry McMurtry,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1559668037i/256008.jpg,https://www.goodreads.com/book/show/256008.Lonesome_Dove
Lord of the Butterflies by Andrea Gibson,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1532369250i/39656141.jpg,https://www.goodreads.com/book/show/39656141-lord-of-the-butterflies
Mistborn Series (7) by Brandon Sanderson,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1617768316i/68428.jpg,https://www.goodreads.com/book/show/68428.Mistborn
Monk & Robot (1–2) by Becky Chambers,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1600789291i/40864002.jpg,https://www.goodreads.com/book/show/40864002-a-psalm-for-the-wild-built
Morning Glory Milking Farm by C.M. Nascosta,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1679944449i/123852869.jpg,https://www.goodreads.com/book/show/123852869-morning-glory-milking-farm
Mythology by Edith Hamilton,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1305000423i/23522.jpg,https://www.goodreads.com/book/show/23522.Mythology
Notes on Infinity by Austin Taylor,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1739346587i/221434743.jpg,https://www.goodreads.com/book/show/221434743-notes-on-infinity
Once There Were Wolves by Charlotte McConaghy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1606002779i/54860573.jpg,https://www.goodreads.com/book/show/54860573-once-there-were-wolves
Persuasion by Jane Austen,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1385172413i/2156.jpg,https://www.goodreads.com/book/show/2156.Persuasion
Piranesi by Susanna Clarke,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1609095173i/50202953.jpg,https://www.goodreads.com/book/show/50202953-piranesi
Pride and Prejudice by Jane Austen,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320399351i/1885.jpg,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice
"Red Mars, Green Mars, Blue Mars by Kim Stanley Robinson",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1660272828i/77507.jpg,https://www.goodreads.com/book/show/77507.Red_Mars
Red Rising (1–6) by Pierce Brown,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1461354651i/15839976.jpg,https://www.goodreads.com/book/show/15839976-red-rising
Replay by Ken Grimwood,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1441156728i/341735.jpg,https://www.goodreads.com/book/show/341735.Replay#CommunityReviews
Six of Crows (Six of Crows #1) by Leigh Bardugo,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1651710803i/23437156.jpg,https://www.goodreads.com/book/show/23437156-six-of-crows
Snow Crash by Neal Stephenson,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1589842551i/40651883.jpg,https://www.goodreads.com/book/show/40651883-snow-crash
